step,t_s,n_m,e_m,d_m,ax_body,ay_body,az_body,gx_body,gy_body,gz_body,m0,m1,m2,m3,imu_recv,navsat_recv,motor_send
124,1.240,0.0000,0.0000,-0.5527,-0.0025,0.0011,-9.8400,-0.0011,-0.0014,0.0010,0.765,0.765,0.765,0.765,336,72,125
125,1.250,0.0000,0.0000,-0.5605,-0.0001,-0.0004,-9.8395,0.0009,-0.0011,-0.0012,0.763,0.763,0.763,0.763,338,73,126
126,1.260,0.0000,0.0000,-0.5605,0.0036,-0.0002,-9.8148,0.0007,-0.0004,-0.0008,0.767,0.767,0.767,0.767,340,73,127
127,1.270,0.0000,0.0000,-0.5684,0.0001,0.0018,-9.8283,-0.0009,0.0018,0.0002,0.764,0.764,0.764,0.764,343,74,128
128,1.280,0.0000,0.0000,-0.5684,-0.0016,-0.0015,-9.8183,-0.0001,-0.0016,0.0003,0.768,0.768,0.768,0.768,345,74,129
129,1.290,0.0000,0.0000,-0.5763,0.0048,0.0003,-9.8581,-0.0019,0.0008,0.0001,0.765,0.765,0.765,0.765,348,75,130
130,1.300,0.0000,0.0000,-0.5841,-0.0010,-0.0006,-9.8509,-0.0003,-0.0002,-0.0000,0.763,0.763,0.763,0.763,350,76,131
131,1.310,0.0000,0.0000,-0.5841,-0.0008,-0.0014,-9.8258,0.0002,-0.0004,0.0003,0.767,0.767,0.767,0.767,352,76,132
132,1.320,0.0000,0.0000,-0.5920,0.0037,-0.0003,-9.8395,-0.0023,-0.0017,0.0007,0.764,0.764,0.764,0.764,355,77,133
133,1.330,0.0000,0.0000,-0.5920,0.0018,-0.0014,-9.8280,0.0004,-0.0017,-0.0007,0.768,0.768,0.768,0.768,357,77,134
134,1.340,0.0000,0.0000,-0.6000,0.0004,0.0019,-9.8496,-0.0004,0.0002,-0.0018,0.766,0.766,0.766,0.766,359,78,135
135,1.350,0.0000,0.0000,-0.6079,0.0025,-0.0019,-9.8567,-0.0006,-0.0003,-0.0006,0.763,0.763,0.763,0.763,362,79,136
136,1.360,0.0000,0.0000,-0.6079,0.0023,-0.0003,-9.8320,0.0002,0.0000,0.0008,0.767,0.767,0.767,0.767,364,79,137
137,1.370,0.0000,0.0000,-0.6158,0.0004,-0.0008,-9.8294,0.0010,-0.0007,-0.0011,0.764,0.764,0.764,0.764,366,80,138
138,1.380,0.0000,0.0000,-0.6158,-0.0014,-0.0046,-9.8280,-0.0004,-0.0006,-0.0008,0.768,0.768,0.768,0.768,369,80,139
139,1.390,0.0000,0.0000,-0.6238,-0.0019,-0.0036,-9.8591,-0.0005,0.0003,-0.0004,0.766,0.766,0.766,0.766,371,81,140
140,1.400,0.0000,0.0000,-0.6318,0.0014,-0.0010,-9.8513,-0.0000,0.0002,0.0004,0.763,0.763,0.763,0.763,374,82,141
141,1.410,0.0000,0.0000,-0.6318,-0.0016,-0.0011,-9.8216,-0.0005,0.0006,-0.0010,0.767,0.767,0.767,0.767,376,82,142
142,1.420,0.0000,0.0000,-0.6398,-0.0046,0.0019,-9.8421,-0.0019,-0.0007,-0.0012,0.764,0.764,0.764,0.764,378,83,143
143,1.430,0.0000,0.0000,-0.6398,-0.0018,-0.0019,-9.8325,-0.0000,0.0005,0.0001,0.768,0.768,0.768,0.768,380,83,144
144,1.440,0.0000,0.0000,-0.6478,-0.0037,0.0017,-9.8587,0.0011,0.0001,-0.0001,0.766,0.766,0.766,0.766,382,84,145
